"","series","time","actual","Method1","Method2","Method3","Method4","Method5"
"1",1,1,108.502487027346,168.1741,148.4132,198.1741,138.1741,228.1741
"2",1,2,162.685951117644,168.1741,148.4132,198.1741,138.1741,228.1741
"3",1,3,97.7277639088664,168.1741,148.4132,198.1741,138.1741,228.1741
"4",1,4,329.521104203952,168.1741,148.4132,198.1741,138.1741,228.1741
"5",1,5,174.994384687322,168.1741,148.4132,198.1741,138.1741,228.1741
"6",1,6,98.4713662493439,168.1741,148.4132,198.1741,138.1741,228.1741
"7",1,7,189.372225667219,168.1741,148.4132,198.1741,138.1741,228.1741
"8",1,8,214.682963732811,168.1741,148.4132,198.1741,138.1741,228.1741
"9",1,9,197.925495757075,168.1741,148.4132,198.1741,138.1741,228.1741
"10",1,10,127.396695705202,168.1741,148.4132,198.1741,138.1741,228.1741
"11",1,11,316.04688860013,168.1741,148.4132,198.1741,138.1741,228.1741
"12",1,12,180.354005772396,168.1741,148.4132,198.1741,138.1741,228.1741
"13",1,13,108.785680175871,168.1741,148.4132,198.1741,138.1741,228.1741
"14",1,14,49.0406750296185,168.1741,148.4132,198.1741,138.1741,228.1741
"15",1,15,260.464209206175,168.1741,148.4132,198.1741,138.1741,228.1741
"16",1,16,145.115967044341,168.1741,148.4132,198.1741,138.1741,228.1741
"17",1,17,147.216584803549,168.1741,148.4132,198.1741,138.1741,228.1741
"18",1,18,237.916103528228,168.1741,148.4132,198.1741,138.1741,228.1741
"19",1,19,223.76817827657,168.1741,148.4132,198.1741,138.1741,228.1741
"20",1,20,199.72684551559,168.1741,148.4132,198.1741,138.1741,228.1741
"21",1,21,234.977246441701,168.1741,148.4132,198.1741,138.1741,228.1741
"22",1,22,219.437652824422,168.1741,148.4132,198.1741,138.1741,228.1741
"23",1,23,154.050811328016,168.1741,148.4132,198.1741,138.1741,228.1741
"24",1,24,54.8896140975692,168.1741,148.4132,198.1741,138.1741,228.1741
"25",1,25,202.332599179489,168.1741,148.4132,198.1741,138.1741,228.1741
